Low Range,High Range,Side,Street Name,Postal City,Zip 5,Zip 4,District,School Dist,Village Dist,US Cong,Exec Counc,State Sen,State Rep,State Rep Flot,County Name,County Comm Dist
17,45,ODD,"Center Ave",Enfield,03441,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
6,42,EVEN,"Center Ave",Lebanon,03766,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
18,46,EVEN,"Hillcrest Drive",Epping,03042,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
19,43,ALL,"River Road",Hudson,03051,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
19,31,ODD,"Lakeside Drive",Nashua,03060,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
12,38,EVEN,"Lakeside Drive",Hudson,03051,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
9,57,ALL,"Park Lane",Concord,03301,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
15,24,ALL,"Spruce St",Concord,03301,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
9,57,ODD,"Cherry Lane",Epping,03042,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
20,48,EVEN,"Cherry Lane",Nashua,03060,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
1,35,ALL,"Magnolia Blvd",Nashua,03060,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
2,6,EVEN,"Elmwood Ave",Lebanon,03766,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
3,49,ODD,"Forest Drive",Laconia,03246,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
11,27,ODD,"Crescent St",Hooksett,03106,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
15,21,ODD,"Meadow Lane",Laconia,03246,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
13,55,ODD,"Garden Path",Nashua,03060,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
12,16,EVEN,"Garden Path",Lebanon,03766,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
17,27,ODD,"Bayview Blvd",Manchester,03101,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
18,68,EVEN,"Bayview Blvd",Hooksett,03106,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
12,54,EVEN,"Ridge Road",Enfield,03441,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
21,69,ODD,"Crystal Way",Epping,03042,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
11,49,ODD,"Waterfront Dr",Nashua,03060,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
13,39,ODD,"Pinecone Ln",Salem,03079,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
7,17,ODD,"Granite St",Laconia,03246,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
18,54,EVEN,"Granite St",Concord,03301,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
11,51,ODD,"Evergreen Terrace",Hudson,03051,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
14,38,EVEN,"Evergreen Terrace",Epping,03042,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
14,60,ALL,"Sycamore Ave",Epping,03042,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
2,10,EVEN,"Bayshore Blvd",Hooksett,03106,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
12,34,ALL,"Stonewall Rd",Portsmouth,03801,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
15,37,ODD,"Redwood Dr",Claremont,03743,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
14,58,EVEN,"Redwood Dr",Dover,03820,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
4,18,ALL,"Heritage Ln",Berlin,03570,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
13,37,ODD,"Sunrise Blvd",Dover,03820,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
6,16,EVEN,"Sunrise Blvd",Lebanon,03766,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
9,25,ODD,"Victory Ave",Salem,03079,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
16,52,EVEN,"Victory Ave",Lebanon,03766,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
19,60,ALL,"Sierra Rd",Nashua,03060,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
17,63,ODD,"O'Connell St",Hooksett,03106,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
12,26,EVEN,"O'Connell St",Manchester,03101,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
19,35,ODD,"St. John’s Place",Nashua,03060,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
4,52,EVEN,"St. John’s Place",Laconia,03246,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
6,35,ALL,"King-George Blvd",Lebanon,03766,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
9,21,ODD,"Queen-Mary Ave",Portsmouth,03801,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
15,33,ODD,"D'Angelo Way",Salem,03079,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
14,16,EVEN,"D'Angelo Way",Lebanon,03766,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
19,41,ODD,"Smith-Jones Rd",Salem,03079,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
13,59,ODD,"O'Malley’s Lane",Salem,03079,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
14,30,EVEN,"AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB",Dover,03820,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
5,41,ODD,"BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBCCCCCC",Nashua,03060,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
2,42,EVEN,"BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBCCCCCC",Hudson,03051,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
